url	first_seen	portal	title	company	status
https://www.grab.careers/en/jobs/744000107446310/senior-data-scientist-grabmaps/	2026-04-17	grab.careers	Senior Data Scientist (GrabMaps)	Grab	added
https://www.grab.careers/en/jobs/744000104833132/lead-machine-learning-platform-engineer/	2026-04-17	grab.careers	Lead Machine Learning Platform Engineer	Grab	added
https://www.grab.careers/en/jobs/744000120321707/lead-data-scientist-grabmart/	2026-04-17	grab.careers	Lead Data Scientist (Grabmart)	Grab	added
https://www.grab.careers/en/jobs/744000088522025/senior-data-scientist-business-transaction-platform/	2026-04-17	grab.careers	Senior Data Scientist (Business & Transaction Platform)	Grab	added
https://www.grab.careers/en/jobs/744000077806135/lead-data-scientist-llm-post-training/	2026-04-17	grab.careers	Lead Data Scientist (LLM Post Training)	Grab	added
https://www.grab.careers/en/jobs/744000087818132/lead-machine-learning-engineer-fulfilment/	2026-04-17	grab.careers	Lead Machine Learning Engineer (Fulfilment)	Grab	added
https://www.grab.careers/en/jobs/744000069489988/lead-machine-learning-engineer-ads/	2026-04-17	grab.careers	Lead Machine Learning Engineer (Ads)	Grab	added
https://www.grab.careers/en/jobs/744000047978395/lead-data-scientist-supply-planning/	2026-04-17	grab.careers	Lead Data Scientist (Supply Planning)	Grab	added
https://www.grab.careers/en/jobs/744000112454626/senior-data-scientist-supply-planning/	2026-04-17	grab.careers	Senior Data Scientist (Supply Planning)	Grab	added
https://www.grab.careers/en/jobs/744000057527178/senior-data-scientist-deliveries-ace/	2026-04-17	grab.careers	Senior Data Scientist (Deliveries & ACE)	Grab	added
https://careers.google.com/jobs/results/85431139474252486-software-engineer-machine-learning/	2026-04-17	careers.google.com	Software Engineer, Machine Learning	Google Singapore	added
https://careers.google.com/jobs/results/112314523246830278-staff-software-engineer/	2026-04-17	careers.google.com	Staff Software Engineer, Information Security Engineering	Google Singapore	added
https://jobs.lever.co/palantir/636fc05c-d348-4a06-be51-597cb9e07488	2026-04-17	jobs.lever.co	Forward Deployed AI Engineer	Palantir	added
https://jobs.lever.co/palantir/dab396d4-2f14-4796-aac0-0d82883dccf0	2026-04-17	jobs.lever.co	Forward Deployed Software Engineer	Palantir	added
https://jobs.careers.gov.sg/jobs/hrp/16708421/005056a3-d347-1fe0-ac89-b910a7d0e280	2026-04-17	careers.gov.sg	Software Engineer (Full Stack), AI Programme	GovTech	added
https://career.sea.com/position/J00291233	2026-04-17	career.sea.com	AI Solutions Engineer	Sea Labs	added
https://www.mycareersfuture.gov.sg/job/information-technology/machine-learning-engineer-graduate-2026-start-bytedance-425c3eaaf0155f637230cadca6bb1aae	2026-04-17	mycareersfuture.gov.sg	Machine Learning Engineer Graduate (2026 Start)	ByteDance	added
